Name,Platform,DOIs,Citations,License,Categories
TRIPOD,R,"10.1016/j.cels.2022.08.004, 10.1101/2021.09.22.461437",16,GPL-3.0,"Gene Networks, Integration, Visualisation"
CellBIC,MATLAB,10.1093/nar/gky698,15,'-,Clustering
cellxgene_VIP,Python,"10.1101/2020.08.28.270652, 10.21203/rs.3.rs-1544196/v1",15,MIT,"Interactive, Visualisation"
FLOWMAPR,R,10.1038/s41596-019-0246-3,15,MIT,"Interactive, Visualisation"
scCAEs,Python,10.1093/bib/bbab321,15,'-,"Clustering, Dimensionality Reduction"
scConsensus,R,"10.1101/2020.04.22.056473, 10.1186/s12859-021-04028-4",15,MIT,"Classification, Differential Expression, Integration, Visualisation"
scNBMF,Python/R,10.1186/s12918-019-0699-6,15,'-,"Dimensionality Reduction"
scRNABatchQC,R,10.1093/bioinformatics/btz601,15,LGPL-2.0,"Integration, Quality Control, Visualisation"
StationaryOT,Python,"10.1101/2021.03.02.433630, 10.1371/journal.pcbi.1009466",15,MIT,Ordering
TDL,Python,"10.1093/bib/bbab142, 10.1101/2020.09.21.306332",15,'-,"Gene Networks"
TWO-SIGMA,R,"10.1002/gepi.22361, 10.1093/bib/bbac084, 10.1101/2021.01.24.427979, 10.1101/709238",15,GPL-2.0,"Differential Expression, Gene Sets, Simulation"
VeTra,Python,"10.1093/bioinformatics/btab364, 10.1101/2020.09.01.277095",15,'-,Ordering
BEARscc,R,"10.1038/s41467-018-03608-y, 10.1101/118919",14,GPL-3.0,"Clustering, Simulation"
COAC,C++,10.1371/journal.pcbi.1006772,14,'-,"Clustering, Gene Networks"
dpi,Python,"10.1093/bib/bbad005, 10.1101/2022.04.04.486878",14,MIT,"Dimensionality Reduction, Imputation, Integration, Normalisation, Visualisation"
DUSC,Python,"10.1101/511626, 10.1261/rna.074427.119",14,Apache-2.0,Clustering
ELSA,Python,10.1093/bioinformatics/btaa137,14,GPL-3.0,"Classification, Dimensionality Reduction"
GraphCS,C++/Python,"10.1093/bib/bbab570, 10.1101/2021.06.24.449752",14,'-,Classification
IKAP,R,"10.1093/gigascience/giz121, 10.1101/596817",14,MIT,"Clustering, Marker Genes, Visualisation"
iQcell,Python,"10.1101/2021.04.01.438014, 10.1371/journal.pcbi.1009907",14,'-,"Gene Networks, Simulation"
LAK,R,10.1109/ACCESS.2020.3008681,14,'-,Clustering
MINI-EX,Python/Nextflow,"10.1016/j.molp.2022.10.016, 10.1101/2022.07.01.498402, 10.1101/2023.12.24.573246",14,Custom,"Gene Networks"
MultiK,R,10.1186/s13059-021-02445-5,14,MIT,"Clustering, Visualisation"
pmVAE,Python,10.1101/2021.01.28.428664,14,MIT,"Dimensionality Reduction"
scAdapt,Python,"10.1093/bib/bbab281, 10.1101/2021.01.18.427083",14,MIT,"Classification, Dimensionality Reduction"
scAEspy,Python,"10.1101/727867, 10.1186/s12859-021-04150-3",14,GPL-3.0,"Dimensionality Reduction, Integration"
SCAPTURE,Shell/Python/R,"10.1101/2021.03.17.435782, 10.1186/s13059-021-02437-5",14,Custom,"Alternative Splicing, Quantification"
scDiffCom,R,"10.1038/s43587-023-00514-x, 10.1101/2021.08.13.456238",14,MIT,"Gene Networks, Visualisation"
scGEAToolbox,MATLAB,"10.1093/bioinformatics/btz830, 10.1101/544163",14,MIT,"Clustering, Dimensionality Reduction, Gene Filtering, Gene Networks, Gene Sets, Integration, Marker Genes, Normalisation, Ordering, Quality Control, Visualisation"
scHinter,MATLAB,10.1093/bioinformatics/btz627,14,'-,"Imputation, Normalisation"
scMDC,Python,10.1038/s41467-022-35031-9,14,Apache-2.0,"Clustering, Integration"
scPanoView,Python,"10.1101/616862, 10.1371/journal.pcbi.1007040",14,MIT,"Clustering, Dimensionality Reduction, Variable Genes, Visualisation"
scSVA,R,10.1101/512582,14,GPL-3.0,"Dimensionality Reduction, Interactive, Visualisation"
UPhyloplot2,Python,"10.1101/2020.05.25.115550, 10.1186/s12864-021-07739-3",14,'-,Visualisation
ACTIVA,Python,"10.1093/bioinformatics/btac095, 10.1101/2021.01.28.428725",13,MIT,Simulation
AutoClass,Python,"10.1038/s41467-022-29576-y, 10.1101/2020.12.04.412247",13,GPL-3.0,"Classification, Imputation"
DCA_R,R,10.1371/journal.pcbi.1006391,13,GPL-2.0,"Dimensionality Reduction"
FEATS,Python,"10.1093/bib/bbaa306, 10.1101/2020.07.13.200485",13,MIT,"Clustering, Integration"
HGC,R/C++,"10.1093/bioinformatics/btab420, 10.1101/2021.02.07.430106",13,GPL-2.0-or-later,Clustering
MACA,Python,"10.1093/bioinformatics/btab840, 10.1101/2021.10.25.465734",13,GPL-3.0,Classification
mtSC,Python,10.1093/nar/gkab380,13,MIT,"Classification, Integration"
northstar,Python,"10.1038/s41598-020-71805-1, 10.1101/820928",13,MIT,Classification
OGFSC,MATLAB,10.1093/bioinformatics/bty1016,13,'-,"Gene Filtering"
ParaDPMM,Matlab,"10.1093/bioinformatics/bty702, 10.1101/271163",13,'-,Classification
PercentMaxDiff,R,10.1101/2021.11.15.468733,13,GPL-3.0,Integration
PsiNorm,R,"10.1093/bioinformatics/btab641, 10.1101/2021.04.07.438822",13,MIT,Normalisation
sc-REnF,R,"10.1093/bib/bbab517, 10.1101/2020.10.10.334573, 10.21203/rs.3.rs-355014/v1",13,'-,"Gene Filtering"
scdNet,MATLAB,10.1186/s12918-018-0652-0,13,'-,"Gene Networks, Gene Sets"
scDoc,R,"10.1093/bioinformatics/btaa283, 10.1101/731638",13,'-,Imputation
SClineager,R/C++,"10.1016/j.celrep.2020.108589, 10.1101/2020.01.01.892562",13,GPL-3.0,"Ordering, Variants"
scPopCorn,Python,"10.1016/j.cels.2019.05.007, 10.1101/485979",13,GPL-3.0,"Clustering, Integration, Normalisation, Variable Genes, Visualisation"
scRCMF,MATLAB,10.1109/TBME.2019.2937228,13,MIT,"Clustering, Dimensionality Reduction"
SCReadCounts,Python,"10.1101/2020.11.23.394569, 10.1186/s12864-021-07974-8",13,MIT,Variants
scRecover,R,10.1101/665323,13,GPL-1.0,"Imputation, Normalisation"
SIMBA,Python,"10.1038/s41592-023-01899-8, 10.1101/2021.10.17.464750",13,BSD-3-Clause,"Dimensionality Reduction, Gene Filtering, Normalisation, Quality Control, Variable Genes, Visualisation"
SMNN,R,"10.1093/bib/bbaa097, 10.1101/672261",13,GPL-3.0,Integration
SparseDC,R,10.1093/nar/gkx1113,13,GPL-3.0,"Clustering, Marker Genes"
Tweedieverse,R,"10.1002/sim.9430, 10.1101/2021.03.28.437378",13,MIT,"Differential Expression"
WEDGE,MATLAB,"10.1093/bib/bbab085, 10.1101/864488",13,MIT,"Imputation, Interactive"
BESCA,Python,"10.1093/nargab/lqab102, 10.1101/2020.08.11.245795",12,GPL-3.0,"Classification, Clustering, Differential Expression, Gene Filtering, Gene Sets, Integration, Normalisation, Quality Control, Visualisation"
Cellar,Python/R,"10.1038/s41467-022-29744-0, 10.1101/2021.03.19.436162",12,MIT,"Classification, Clustering, Differential Expression, Dimensionality Reduction, Interactive, Quality Control"
Demuxafy,Singularity/R/Python,10.1101/2022.03.07.483367,12,'-,"Quality Control, Variants"
Dino,R,"10.1093/bioinformatics/btab450, 10.1101/2020.10.28.359901",12,GPL-3.0,Normalisation
geneBasisR,R,"10.1101/2021.08.10.455720, 10.1186/s13059-021-02548-z",12,MIT,"Differential Expression, Dimensionality Reduction, Marker Genes, Visualisation"
genesorteR,R,10.1101/676379,12,GPL-3.0,"Marker Genes, Visualisation"
GPseudoRank,MATLAB,"10.1093/bioinformatics/bty664, 10.1101/211417",12,LGPL-3.0,Ordering
GRNUlar,Python,"10.1089/cmb.2021.0437, 10.1101/2020.04.23.058149",12,MIT,"Gene Networks"
k-branches,R,"10.1093/bioinformatics/btx325, 10.1101/094532",12,GPL-3.0,Ordering
Monod,Python,"10.1101/2022.06.11.495771, 10.1101/2023.09.17.558131",12,BSD-2-Clause,"Clustering, Differential Expression, Quality Control, Quantification, Visualisation"
phyloRNA,R/Python,"10.1089/cmb.2022.0357, 10.1101/2021.01.07.425804",12,MIT,"Alignment, Normalisation, Ordering, Quality Control, Quantification, UMIs, Variants"
Portal,Python,"10.1038/s43588-022-00251-y, 10.1101/2021.11.16.468892",12,MIT,"Dimensionality Reduction, Integration"
powerEQTL,R,"10.1093/bioinformatics/btab385, 10.1101/2020.12.15.422954",12,GPL-2.0-or-later,Variants
POWSC,R,10.1093/bioinformatics/btaa607,12,GPL-1.0,"Differential Expression, Simulation, Visualisation"
sc-compReg,R/C++,10.1038/s41467-021-25089-2,12,GPL-3.0,"Dimensionality Reduction, Gene Networks, Integration, Visualisation"
SCAPE,Python,10.1093/nar/gkac167,12,MIT,"Alternative Splicing, Quantification"
SCC,R,"10.1186/s12859-020-03878-8, 10.21203/rs.2.22114/v1",12,'-,Imputation
scDALI,Python,"10.1101/2021.03.19.436142, 10.1186/s13059-021-02593-8",12,BSD-3-Clause,"Alternative Splicing"
scFlow,R,10.1101/2021.08.16.456499,12,GPL-3.0,"Classification, Clustering, Dimensionality Reduction, Gene Sets, Integration, Marker Genes, Quality Control, Visualisation"
scOntoMatch,R,"10.1038/s41467-023-41855-w, 10.1101/2022.09.27.509674",12,MIT,"Classification, Visualisation"
scREhurdle,R/Stan/C++,10.1111/biom.13074,12,GPL-3.0-or-later,"Differential Expression"
scVirtualCyto,Javascript,"10.1093/nargab/lqaa025, 10.1101/843946",12,AGPL-3.0,"Interactive, Visualisation"
Specter,MATLAB,"10.1101/2020.06.15.151910, 10.1101/gr.267906.120",12,'-,Clustering
spliceJAC,Python,10.15252/msb.202211176,12,MIT,"Gene Networks, Visualisation"
TCM,R,10.1038/s41467-018-05112-9,12,MIT,"Dimensionality Reduction, Visualisation"
Triku,Python,"10.1093/gigascience/giac017, 10.1101/2021.02.12.430764",12,BSD-3-Clause,"Variable Genes"
VeloViz,R/C++,"10.1093/bioinformatics/btab653, 10.1101/2021.01.28.425293",12,GPL-3.0,"Dimensionality Reduction, Visualisation"
CausalDAG,Python,"10.1093/bioinformatics/btab167, 10.1101/2020.05.13.093765",11,BSD-3-Clause,"Gene Networks"
CeTF,R/C++,10.1186/s12864-021-07918-2,11,GPL-3.0,"Gene Networks, Gene Sets, Visualisation"
CIDER,R,"10.1101/2021.03.29.437525, 10.1186/s13059-021-02561-2",11,MIT,"Clustering, Integration"
contrastiveVI,Python,"10.1038/s41592-023-01955-3, 10.1101/2021.12.21.473757",11,BSD-3-Clause,"Dimensionality Reduction, Perturbations"
deCS,R,"10.1016/j.gpb.2022.04.001, 10.1101/2021.09.19.460993",11,GPL-3.0,Classification
DTWScore,R,10.1186/s12859-017-1647-3,11,'-,"Differential Expression, Ordering, Variable Genes"
EMBEDR,Python/C++,"10.1016/j.patter.2022.100443, 10.1101/2020.11.18.389031",11,'-,"Dimensionality Reduction, Visualisation"
EPIC,R,"10.1101/2021.06.09.447805, 10.1371/journal.pgen.1010251",11,GPL-2.0,"Variants, Visualisation"
FRmatch,R,"10.1093/bib/bbaa339, 10.1101/2020.05.01.073445",11,MIT,"Classification, Interactive, Visualisation"
hbfm,R/C++,10.1186/s12859-020-03707-y,11,GPL-2.0-or-later,"Gene Networks"
mrtree,R,"10.1093/nar/gkab481, 10.1101/2021.02.06.430067",11,GPL-3.0,"Clustering, Dimensionality Reduction, Imputation, Simulation, Visualisation"
multinichenetr,R,10.1101/2023.06.13.544751,11,GPL-3.0,"Differential Expression, Dimensionality Reduction, Gene Networks, Visualisation"
mvTCR,Python,10.1101/2021.06.24.449733,11,MIT,"Dimensionality Reduction, Immune, Integration, Perturbations"
NeuronChat,R,"10.1038/s41467-023-36800-w, 10.1101/2023.01.12.523826",11,GPL-3.0,"Gene Networks, Visualisation"
scarf,Python,"10.1038/s41467-022-32097-3, 10.1101/2021.05.02.441899",11,BSD-3-Clause,"Cell Cycle, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Imputation, Marker Genes, Normalisation, Ordering, Quality Control, Variable Genes, Visualisation"
scEFSC,R/Python,10.1016/j.csbj.2022.04.023,11,LPL-1.0,Clustering
scfind,R/C++,"10.1038/s41592-021-01076-9, 10.1101/788596",11,GPL-3.0,"Classification, Interactive, Marker Genes"
scIAE,R,10.1093/bib/bbab508,11,'-,Classification
scITD,R/C++,10.1101/2022.02.16.480703,11,GPL-3.0,"Dimensionality Reduction, Gene Networks, Integration, Normalisation, Variable Genes, Visualisation"
scMAGIC,R,10.1093/nar/gkab1275,11,GPL-3.0,Classification
scMRMA,R/C++,10.1093/nar/gkab931,11,GPL-2.0-or-later,"Classification, Normalisation, Visualisation"
SCOUT,Python,10.1016/j.compbiolchem.2019.03.013,11,'-,Ordering
scTIM,Python,10.1093/bioinformatics/btz936,11,'-,"Marker Genes"
scvr,Python,"10.1101/2020.07.30.229534, 10.3389/fgene.2021.764170",11,'-,Visualisation
SISUA,Python,10.1089/cmb.2019.0337,11,MIT,"Dimensionality Reduction"
SPmarker,Python,"10.1101/2020.11.22.393165, 10.1111/nph.18053",11,GPL-3.0,"Marker Genes"
SuperCell,R,"10.1101/2021.06.07.447430, 10.1186/s12859-022-04861-1",11,'-,"Clustering, Marker Genes, Ordering, Visualisation"
topslam,Python,10.1101/057778,11,BSD-3-Clause,Ordering
UMICollapse,Java,"10.1101/648683, 10.7717/peerj.8275",11,MIT,UMIs
UniPath,R,"10.1093/nar/gkaa1138, 10.1101/864389",11,GPL-2.0-or-later,"Clustering, Gene Sets, Imputation, Ordering"
VECTOR,R,10.1016/j.celrep.2020.108069,11,'-,"Dimensionality Reduction, Ordering"
VeloVAE,Python,10.1101/2022.07.08.499381,11,BSD-3-Clause,Ordering
waddR,R/C++,10.1093/bioinformatics/btab226,11,MIT,"Differential Expression"
Wx,Python,"10.1038/s41598-019-47016-8, 10.1101/221911",11,MIT,"Marker Genes"
ADImpute,R,"10.1101/611517, 10.1371/journal.pcbi.1009849",10,GPL-3.0,Imputation
BC_tSNE,R/C,10.1093/bioinformatics/btaa189,10,GPL-3.0,"Dimensionality Reduction, Integration"
CellView,R,10.1101/123810,10,MIT,"Interactive, Visualisation"
condiments,R,10.1101/2021.03.09.433671,10,MIT,Ordering
coupleCoC_plus,MATLAB,"10.1101/2021.02.17.431728, 10.1371/journal.pcbi.1009064",10,'-,"Clustering, Integration"
DEGAS,R/Python,"10.1101/2020.06.16.142984, 10.1186/s13073-022-01012-2",10,MIT,Classification
DrivAER,Python,"10.1093/gigascience/giaa122, 10.1101/864165",10,MIT,"Dimensionality Reduction, Gene Sets, Visualisation"
ENCORE,R,10.1093/nar/gkaa1157,10,GPL-3.0,"Clustering, Marker Genes"
fusca,R/Java,10.1038/s41556-022-00884-1,10,MIT,"Cell Cycle, Clustering, Dimensionality Reduction, Gene Networks, Gene Sets, Marker Genes, Normalisation, Ordering, Variable Genes, Visualisation"
ImmClassifier,R/Python,"10.1093/bib/bbab039, 10.1101/2020.03.23.002758",10,GPL-3.0,"Classification, Immune"
ISOP,R,"10.1093/bioinformatics/bty100, 10.1101/036988",10,GPL-3.0,"Differential Expression, Expression Patterns"
Lamian,R,"10.1038/s41467-023-42841-y, 10.1101/2021.07.10.451910",10,GPL-2.0,"Differential Expression, Gene Sets, Integration, Ordering, Visualisation"
MAAPER,R,"10.1101/2021.03.21.436343, 10.1186/s13059-021-02429-5",10,GPL-3.0,"Alternative Splicing"
moscot,Python,10.1101/2023.05.11.540374,10,BSD-3-Clause,"Integration, Ordering, Visualisation"
Normalisr,Python,"10.1038/s41467-021-26682-1, 10.1101/2021.04.12.439500",10,BSD-3-Clause,"Differential Expression, Gene Networks, Normalisation, Quality Control"
RSCORE,R,"10.1093/bib/bbab366, 10.1101/699959",10,'-,"Clustering, Gene Networks, Visualisation"
scACE,R,10.1214/19-STS714,10,GPL-2.0,"Clustering, Integration, Simulation"
scAmpi,Snakemake,"10.1101/2021.03.25.437054, 10.1371/journal.pcbi.1010097",10,GPL-3.0,"Alignment, Classification, Clustering, Differential Expression, Normalisation, Quality Control, Quantification"
Scedar,Python,"10.1101/375196, 10.1371/journal.pcbi.1007794",10,MIT,"Clustering, Dimensionality Reduction, Imputation, Marker Genes, Rare Cells, Visualisation"
schex,R,10.1093/bioinformatics/btz907,10,GPL-3.0,Visualisation
scNPF,R,10.1186/s12864-019-5747-5,10,GPL-2.0,"Gene Networks, Imputation, Integration"
scPNMF,R,"10.1093/bioinformatics/btab273, 10.1101/2021.02.09.430550",10,MIT,"Variable Genes"
SigHotSpotter,R,10.1093/bioinformatics/btz827,10,AGPL-3.0,"Gene Networks, Gene Sets, Interactive, Visualisation"
SinCHet,MATLAB,10.1093/bioinformatics/btx297,10,'-,"Clustering, Interactive, Visualisation"
SwarnSeq,R,10.1016/j.ygeno.2021.02.014,10,GPL-3.0,"Differential Expression"
TraSig,Python,"10.1101/2021.07.28.454054, 10.1186/s13059-022-02629-7",10,MIT,"Gene Networks"
Triangulate,R,10.1093/gigascience/giaa113,10,MIT,"Gene Networks"
VIPCCA,Python,10.1093/nar/gkab1147,10,MIT,"Integration, Quality Control, Visualisation"
BDA,R,"10.1093/nargab/lqab118, 10.1101/2021.02.01.429187",9,GPL-3.0,"Differential Expression"
BingleSeq,R,"10.1101/2020.06.16.148239, 10.7717/peerj.10469",9,MIT,"Clustering, Differential Expression, Gene Sets, Interactive, Normalisation, Quality Control, Visualisation"
BRAPeS,Python,"10.1101/389999, 10.26508/lsa.201900371",9,Custom,"Alignment, Immune"
CCPE,MATLAB,"10.1093/nar/gkab1236, 10.1101/2021.06.13.448263",9,'-,"Cell Cycle"
CellHint,Python,"10.1016/j.cell.2023.11.026, 10.1101/2023.05.01.538994",9,MIT,"Classification, Integration"
CONGAS,Python,"10.1093/bioinformatics/btac143, 10.1101/2021.02.02.429335",9,GPL-3.0,Variants
COTAN,R,10.1093/nargab/lqab072,9,GPL-3.0,"Gene Filtering, Gene Networks, Visualisation"
CSHMM-TF,Python,10.1371/journal.pcbi.1007644,9,'-,"Expression Patterns, Gene Networks, Ordering, Visualisation"
DeepVelo,Python,10.1101/2022.04.03.486877,9,MIT,Ordering
DepecheR,R,"10.1101/396135, 10.1371/journal.pone.0203247",9,MIT,"Clustering, Marker Genes, Visualisation"
EmptyNN,R,"10.1016/j.patter.2021.100311, 10.1101/2021.01.15.426387",9,'-,"Quality Control"
eQTLsingle,R/Shell,"10.1016/j.gene.2022.146520, 10.1101/2021.06.10.447906",9,'-,"Alignment, Quantification, Variants"
FIRM,R/C++,"10.1093/bib/bbac167, 10.1101/2020.06.02.129031",9,'-,"Integration, Variable Genes"
GraphEmbed,Python,10.1038/s41467-018-05988-7,9,MIT,"Dimensionality Reduction, Visualisation"
hsslda,R,"10.1016/j.patter.2022.100536, 10.1101/2022.01.06.475279",9,GPL-3.0,"Dimensionality Reduction, Marker Genes"
InterCellar,R,"10.1038/s42003-021-02986-2, 10.21203/rs.3.rs-525466/v1",9,MIT,"Gene Networks, Interactive, Visualisation"
iSMNN,R,"10.1093/bib/bbab122, 10.1101/2020.11.09.375659",9,GPL-3.0,Integration
JSNMF_py,Python,10.1093/bib/bbac105,9,MIT,"Clustering, Gene Sets, Integration, Visualisation"
matchSCore,R,10.1101/314831,9,'-,Integration
mmutil,C++,"10.1101/2021.01.21.21249765, 10.1186/s13059-021-02438-4",9,MIT,"Clustering, Dimensionality Reduction, Gene Filtering, Integration, Quality Control, Simulation"
MQuad,Python,"10.1038/s41467-022-28845-0, 10.1101/2021.03.27.437331",9,Apache-2.0,"Variants, Visualisation"
pyNVR,Python,10.1093/bioinformatics/bty950,9,GPL-2.0,"Variable Genes"
RVAgene,Python,"10.1093/bioinformatics/btab260, 10.1101/2020.11.10.375436",9,MIT,"Dimensionality Reduction, Simulation"
Scallop2,C++,"10.1038/s43588-022-00216-1, 10.1101/2021.09.03.458862",9,BSD-3-Clause,Assembly
scCODE,R,"10.1093/bib/bbac180, 10.1101/2021.11.18.469072",9,MIT,"Differential Expression, Visualisation"
scDEA,R,10.1093/bib/bbab402,9,GPL-2.0-or-later,"Differential Expression"
schist,Python,"10.1101/2020.06.28.176180, 10.1186/s12859-021-04489-7",9,BSD-3-Clause,"Clustering, Visualisation"
SCHNAPPs,R,"10.1016/j.jim.2021.113176, 10.1101/2020.06.07.127274",9,GPL-3.0,"Differential Expression, Dimensionality Reduction, Interactive, Quality Control, Visualisation"
sciCAN,Python,"10.1038/s41540-022-00245-6, 10.1101/2021.11.30.470677",9,'-,Integration
SCIMITAR,Python,"10.1101/070151, 10.1142/9789813207813_0053",9,'-,"Expression Patterns, Gene Networks, Ordering"
ScisorWiz,R/Python,"10.1093/bioinformatics/btac340, 10.1101/2022.04.14.488347",9,Custom,"Alternative Splicing, Visualisation"
Sharq,Python/Perl/R,10.1101/250811,9,'-,"Alignment, Quality Control, Quantification, UMIs, Visualisation"
siVAE,Python,"10.1101/2021.09.15.460498, 10.1186/s13059-023-02850-y",9,MIT,"Dimensionality Reduction, Gene Sets, Visualisation"
SPaRTAN,Python/C,"10.1093/nar/gkab745, 10.1101/2020.12.22.423961",9,'-,"Gene Networks"
SPECTRA,Python,"10.1038/s41587-023-01940-3, 10.1101/2022.12.20.521311",9,MIT,"Gene Networks, Gene Sets, Marker Genes, Visualisation"
UniverSC,Shell/Perl/R,"10.1038/s41467-022-34681-z, 10.1101/2021.01.19.427209",9,GPL-3.0,"Alignment, Quantification, UMIs"
VALERIE,R,10.1371/journal.pcbi.1008195,9,GPL-3.0,"Alternative Splicing, Visualisation"
ZINBAE,Python,10.1016/j.ymeth.2020.09.010,9,MIT,Imputation
activeSVC,Python,"10.1038/s43588-022-00263-8, 10.1101/2021.06.15.448478",8,GPL-3.0,"Marker Genes, Variable Genes"
BENISSE,Python/R,10.1038/s42256-022-00492-6,8,MIT,"Dimensionality Reduction, Immune, Visualisation"
ccfindR,R,10.26508/lsa.201900443,8,GPL-2.0-or-later,"Clustering, Dimensionality Reduction, Gene Filtering, Normalisation, Quality Control, Simulation, Visualisation"
coupleCoC,MATLAB,"10.1093/bib/bbaa347, 10.1101/2020.03.28.013938",8,'-,"Clustering, Integration"
CTpathway,Python,10.1186/s13073-022-01119-6,8,GPL-3.0,"Gene Sets, Visualisation"
DECODE,C++/R/MATLAB,10.1101/241646,8,GPL-2.0-or-later,Imputation
fba,Python,10.1093/bioinformatics/btab375,8,MIT,"Alignment, Quality Control, Quantification"
GPseudoClust,MATLAB,"10.1093/bioinformatics/btz778, 10.1101/567115",8,GPL-3.0,"Expression Patterns, Ordering"
hypercluster,Python,"10.1101/2020.01.13.905323, 10.1186/s12859-020-03774-1",8,BSD-3-Clause,"Clustering, Visualisation"
iCellR,R,"10.1101/2020.03.31.019109, 10.1101/2020.05.05.078550",8,GPL-2.0,"Cell Cycle, Clustering, Differential Expression, Dimensionality Reduction, Imputation, Integration, Marker Genes, Normalisation, Quality Control, Visualisation"
iterClust,R,10.1093/bioinformatics/bty176,8,Custom,Clustering
LinQView,R/C++,10.1016/j.crmeth.2021.100056,8,GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Normalisation, Visualisation"
MacroPolo,Python,"10.1093/nar/gkac216, 10.1101/2020.11.23.393900",8,GPL-2.0,"Differential Expression"
MGFR,R,10.7717/peerj.6970,8,GPL-3.0,"Marker Genes"
RgCop,R,"10.1101/2020.12.23.424205, 10.1371/journal.pcbi.1009464",8,'-,"Variable Genes"
RGGC,MATLAB,10.3390/genes12020311,8,'-,Clustering
SCAFE,Perl/R,"10.1093/bioinformatics/btac644, 10.1101/2021.04.04.438388",8,MIT,"Alternative Splicing, Quantification"
scAnnotatR,R,"10.1101/2020.12.22.424025, 10.1186/s12859-022-04574-5",8,MIT,"Classification, Marker Genes, Visualisation"
scBT,R,"10.1093/nar/gkac019, 10.1101/2021.09.08.459475",8,'-,"Differential Expression"
scDrug,Python,10.1016/j.csbj.2022.11.055,8,'-,Perturbations
SCelVis,Python,"10.1101/713008, 10.7717/peerj.8607",8,MIT,"Interactive, Visualisation"
scGNN2,Python,10.1093/bioinformatics/btac684,8,MIT,"Clustering, Imputation"
scGWAS,Java,10.1186/s13059-022-02785-w,8,GPL-3.0,Variants
scTour,Python,"10.1101/2022.04.17.488600, 10.1186/s13059-023-02988-9",8,MIT,"Dimensionality Reduction, Ordering, Visualisation"
SEMITONES,Python,"10.1093/nar/gkac639, 10.1101/2020.11.17.386664",8,GPL-3.0,"Gene Sets, Marker Genes, Visualisation"
signac,R/C++,10.1101/2020.11.16.384479,8,Custom,"Differential Expression, Expression Patterns, Marker Genes"
SoloTE,Python/Shell,10.1038/s42003-022-04020-5,8,GPL-3.0,Quantification
TAR-scRNA-seq,Snakemake,"10.1038/s41467-021-22496-3, 10.1101/2020.07.31.229575",8,GPL-3.0,"Alignment, Quantification"
tGPT,Python,"10.1016/j.isci.2023.106536, 10.1101/2022.01.31.478596",8,GPL-3.0,"Dimensionality Reduction"
ZIAQ,R,10.1093/bioinformatics/btaa098,8,GPL-2.0-or-later,"Differential Expression"
acorde,R,"10.1038/s41467-022-29497-w, 10.1101/2021.05.07.441841",7,GPL-3.0,"Alternative Splicing, Differential Expression, Visualisation"
APL,R/Python,"10.1016/j.jmb.2022.167525, 10.1101/2020.10.23.352096",7,GPL-3.0,"Gene Sets, Marker Genes, Visualisation"
BioTIP,R,"10.1093/nar/gkac452, 10.1101/668442",7,GPL-2.0,"Expression Patterns, Gene Networks, Visualisation"
BITFAM,R,10.1101/gr.265595.120,7,'-,"Gene Networks, Normalisation, Variable Genes"
Canek,R,"10.1093/nargab/lqac022, 10.1101/2021.05.05.442380",7,MIT,Integration
CDI,R,"10.1101/2022.01.03.474840, 10.1186/s13059-022-02825-5",7,GPL-3.0,"Clustering, Visualisation"
CellMeSH,Python,"10.1093/bioinformatics/btab834, 10.1101/2020.05.29.124743",7,MIT,Classification
ClonoCluster,R,"10.1016/j.xgen.2022.100247, 10.1101/2022.02.11.480077",7,GPL-3.0,"Clustering, Dimensionality Reduction, Marker Genes, Variants, Visualisation"
ddqc,Python/R,"10.1101/2021.10.27.466176, 10.1186/s13059-022-02820-w",7,BSD-3-Clause,"Quality Control"
demuxmix,R,"10.1093/bioinformatics/btad481, 10.1101/2023.01.27.525961",7,Artistic-2.0,"UMIs, Visualisation"
G2S3,MATLAB/R,"10.1101/2020.04.01.020586, 10.1371/journal.pcbi.1009029",7,GPL-3.0,Imputation
HDMC,Python,10.1093/bioinformatics/btab821,7,'-,Integration
iasva,R,"10.1038/s41598-018-35365-9, 10.1101/151217",7,GPL-2.0,"Dimensionality Reduction, Marker Genes, Normalisation"
ISnorm,R,"10.1093/nargab/lqaa059, 10.1101/2020.07.10.198077",7,GPL-3.0,Normalisation
LINEAGE,R,10.1073/pnas.2119767119,7,GPL-3.0,"Marker Genes, Ordering, Variants"
LRLoop,R,"10.1093/bioinformatics/btac447, 10.1101/2022.02.04.479174",7,MIT,"Gene Networks, Visualisation"
MARGARET,Python,"10.1093/nar/gkac412, 10.1101/2021.10.22.465455",7,MIT,Ordering
MarkerCount,Python,"10.1016/j.csbj.2022.06.010, 10.21203/rs.3.rs-418249/v1",7,MIT,Classification
MarkovHC,R,"10.1093/nar/gkab1132, 10.1101/2020.11.04.368043",7,GPL-3.0,"Clustering, Visualisation"
MAT2,Python,10.1093/bioinformatics/btab250,7,MIT,Integration
Matilda,Python,"10.1093/nar/gkad157, 10.1101/2022.06.01.494441",7,Apache-2.0,"Classification, Dimensionality Reduction, Simulation, Variable Genes, Visualisation"
Neighbor-seq,R,"10.1093/nar/gkac333, 10.1101/2022.04.15.488517",7,'-,"Gene Networks, Visualisation"
NeuCA,R,"10.1038/s41598-021-04473-4, 10.1101/2021.09.25.461825",7,GPL-2.0,Classification
